"MOVIE_originalName","MOVIE_genre","MOVIE_duration","WORK_name","WORK_creator","WORK_createDate","WORK_url","WORK_URI"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
"Maleficent: Mistress of Evil","fantastico",,"MALEFICENT - SIGNORA DEL MALE","Joachim Rønning","2019","https://it.wikipedia.org/wiki/Maleficent_-_Signora_del_male","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Maleficent_-_Signora_del_male"
,"drammatico","138 min","V.O. MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
"Frozen II","animazione","103 min","V.O. FROZEN II","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"海獣の子供","animazione",,"I FIGLI DEL MARE (KAIJU NO KODOMO)","Ayumu Watanabe","2019","https://it.wikipedia.org/wiki/I_figli_del_mare","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
