"FAC_name","FAC_telephone","FAC_website","FAC_mail","FAC_hasParking","FAC_animalsAllowed","FAC_smokingAllowed","FAC_isIndoor","GEO_latitude","GEO_longitude","GEO_altitude","GEO_address","GEO_addressLocality","GEO_addressRegion","GEO_postalCode","GEO_locationText","TIMETABLE_Monday","TIMETABLE_Tuesday","TIMETABLE_Wednesday","TIMETABLE_Thursday","TIMETABLE_Friday","TIMETABLE_Saturday","TIMETABLE_Sunday"
"Museo S.A.S.S. Spazio Archeologico Sotterraneo del Sas","0461 230171","https://www.cultura.trentino.it/Temi/Archeologia","No email from google to avoid spamming",,,,,46.0694843,11.1236374,,"Piazza Cesare Battisti, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Tridentum.%20S.A.S.S.%20-%20Underground%20Archaeological%20Site%20Sas","Closed","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM"
,,,,,,,,46.37642,11.6615999,,"38035 Moena, Province of Trento","WHAT IS IT??","WHAT IS IT???","38035","http://www.semanticweb.org/facilitiesEventsOntology/Moena",,,,,,,
"Albere Palace","0461 496914","https://www.cultura.trentino.it/Luoghi/Tutti-i-luoghi-della-cultura/Palazzi-storici/Palazzo-delle-Albere","No email from google to avoid spamming",,,,,46.0631566,11.1137877,,"Via Roberto da Sanseverino, 43, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Quartiere%20Le%20Albere%3B%20Via%20Roberto%20da%20Sanseverino","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
"Distilleria Marzadro","0464 304555","https://www.marzadro.it/","No email from google to avoid spamming",,,,,45.9089878,11.0281386,,"Via per Brancolino, 10, 38060 Nogaredo TN","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Distilleria%20Marzadro%3B%20Strada%20Provinciale%2090%3B%20Isera","9:00 AM – 6:30 PM","9:00 AM – 6:30 PM","9:00 AM – 6:30 PM","9:00 AM – 6:30 PM","9:00 AM – 6:30 PM","9:00 AM – 6:30 PM","9:00 AM – 6:00 PM"
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Rovereto","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
"Social Theatre","0461 213862","http://www.centrosantachiara.it/","No email from google to avoid spamming",,,,,46.06939060000001,11.1225996,,"Via Paolo Oss-Mazzurana, 19, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Cuminetti%20Theatre",,,,,,,
"Giardino dei Ciucioi","327 766 0813","http://www.ecoargentario.it/","No email from google to avoid spamming",,,,,46.1387805,11.1179099,,"Vicolo dei Ciucioi, 38015 Lavis TN","WHAT IS IT??","WHAT IS IT???","38015","http://www.semanticweb.org/facilitiesEventsOntology/Giardino%20dei%20Ciucioi%3B%20Piazza%20Venezia%2C%202%3B%20Lavarone","Closed","Closed","Closed","Closed","Closed","Closed","9:00 AM – 5:00 PM"
"Bugs Trento",,"http://facebook.com/bugstrento","No email from google to avoid spamming",,,,,46.06845670000001,11.1252337,,"Largo Giosuè Carducci, 51, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Bugs%3B%20Largo%20Giosu%C3%A8%20Carducci","Closed","9:00 PM – 3:00 AM","9:00 PM – 3:00 AM","Closed","9:00 PM – 3:00 AM","9:00 PM – 3:00 AM","4:00 PM – 12:00 AM"
,,,,,,,,46.4573084,11.6996124,,"38030 Mazzin, Province of Trento","WHAT IS IT??","WHAT IS IT???","38030","http://www.semanticweb.org/facilitiesEventsOntology/Campitello%20di%20Fassa%2C%20Canazei%2C%20Mazzin%20...",,,,,,,
"Social Theatre","0461 213862","http://www.centrosantachiara.it/","No email from google to avoid spamming",,,,,46.06939060000001,11.1225996,,"Via Paolo Oss-Mazzurana, 19, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20Sociale%3B%20Via%20Oss%20Mazzurana",,,,,,,
,,,,,,,,46.36553740000001,10.9387742,,"38022 Caldes, Province of Trento","WHAT IS IT??","WHAT IS IT???","38022","http://www.semanticweb.org/facilitiesEventsOntology/Caldes",,,,,,,
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Sale%20espositive","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
,,,,,,,,46.42086339999999,11.6748775,,"38039 Vigo di Fassa, Province of Trento","WHAT IS IT??","WHAT IS IT???","38039","http://www.semanticweb.org/facilitiesEventsOntology/Vigo%20di%20Fassa",,,,,,,
,,,,,,,,45.9603668,10.9101973,,"38074 Dro, Province of Trento","WHAT IS IT??","WHAT IS IT???","38074","http://www.semanticweb.org/facilitiesEventsOntology/Dro",,,,,,,
"Teatro SanbàPolis",,,"No email from google to avoid spamming",,,,,46.0456605,11.1330785,,"Via della Malpensada, 82, 38123 Trento TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20Sanbapolis%3B%20Via%20della%20Malpensada",,,,,,,
"Appartamenti Segantini Arco","347 412 0189","http://appartamentisegantini.com/","No email from google to avoid spamming",,,,,45.919433,10.8873386,,"Via Giovanni Segantini, 75, 38062 Arco TN","WHAT IS IT??","WHAT IS IT???","38062","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Via%20Giovanni%20Segantini%3B%20Arco","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
