"FAC_name","FAC_telephone","FAC_website","FAC_mail","FAC_hasParking","FAC_animalsAllowed","FAC_smokingAllowed","FAC_isIndoor","GEO_latitude","GEO_longitude","GEO_altitude","GEO_address","GEO_addressLocality","GEO_addressRegion","GEO_postalCode","GEO_locationText","TIMETABLE_Monday","TIMETABLE_Tuesday","TIMETABLE_Wednesday","TIMETABLE_Thursday","TIMETABLE_Friday","TIMETABLE_Saturday","TIMETABLE_Sunday"
,,,,,,,,46.0688273,10.9824757,,"Piazza di S. Vigilio, 38070 Santa Massenza TN","WHAT IS IT??","WHAT IS IT???","38070","http://www.semanticweb.org/facilitiesEventsOntology/Trentino-Alto%20Adige%2C%20Italy%3B%20Piazza%20di%20San%20Vigilio%3B%20Calavino",,,,,,,
,,,,,,,,46.0023334,11.2247758,,"38049 Bosentino, Province of Trento","WHAT IS IT??","WHAT IS IT???","38049","http://www.semanticweb.org/facilitiesEventsOntology/Bosentino",,,,,,,
"Cinema Ossana",,,"No email from google to avoid spamming",,,,,46.30950499999999,10.7310269,,"Via Bartolomeo Bezzi, 16, 38026 Fucine TN","WHAT IS IT??","WHAT IS IT???","38026","http://www.semanticweb.org/facilitiesEventsOntology/Cinema%20Comunale%20di%20Ossana%3B%20Via%20Bartolomeo%20Bezzi%2C%2012%3B%20Ossana",,,,,,,
"The Piedicastello Tunnel","0461 174 7000","http://fondazione.museostorico.it/index.php/Luoghi/I-luoghi-della-Fondazione/Le-Gallerie","No email from google to avoid spamming",,,,,46.071672,11.1136268,,"Piazza di Piedicastello, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Le%20Gallerie%20Piedicastello%3B%20Via%20D%C3%B2s%20Trento","Closed","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM"
"FAI - Castello di Avio","0464 684453","http://www.castellodiavio.it/","No email from google to avoid spamming",,,,,45.8168437,11.0120515,,"Via al Castello, 38063 Sabbionara TN","WHAT IS IT??","WHAT IS IT???","38063","http://www.semanticweb.org/facilitiesEventsOntology/Avio%2C%20%2C%20Avio%20castle","Closed","Closed","Closed","Closed","Closed","10:00 AM – 7:00 PM","10:00 AM – 6:00 PM"
"Mart - Galleria Civica di Trento","0461 985511","http://www.mart.trento.it/galleriacivica","No email from google to avoid spamming",,,,,46.0684806,11.1212407,,"Via Rodolfo Belenzani, 44, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Civic%20art%20gallery%20-%20Trento","Closed","10:00 AM – 1:00 PM, 2:00 – 6:00 PM","10:00 AM – 1:00 PM, 2:00 – 6:00 PM","10:00 AM – 1:00 PM, 2:00 – 6:00 PM","10:00 AM – 1:00 PM, 2:00 – 6:00 PM","10:00 AM – 1:00 PM, 2:00 – 6:00 PM","10:00 AM – 1:00 PM, 2:00 – 6:00 PM"
"S.O.S.A.T. - Sezione Operaia Società Alpinistica Tridentina","0461 986699","http://www.sosat.it/","No email from google to avoid spamming",,,,,46.0683822,11.1235418,,"Via Malpaga, 17, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Sala%20Sosat","10:00 – 11:30 AM","10:00 – 11:30 AM","10:00 – 11:30 AM","10:00 – 11:30 AM","10:00 – 11:30 AM","10:00 – 11:30 AM","Closed"
,,,,,,,,45.0733586,7.6789807,,"Via Giuseppe Garibaldi, 10122 Torino TO","WHAT IS IT??","WHAT IS IT???","10122","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Via%20Giuseppe%20Garibaldi",,,,,,,
,,,,,,,,45.88919839999999,10.8430696,,"38066 Riva del Garda, Province of Trento","WHAT IS IT??","WHAT IS IT???","38066","http://www.semanticweb.org/facilitiesEventsOntology/Riva%20del%20Garda",,,,,,,
,,,,,,,,46.26176419999999,11.8002183,,"38054 San Martino di Castrozza, Province of Trento","WHAT IS IT??","WHAT IS IT???","38054","http://www.semanticweb.org/facilitiesEventsOntology/San%20Martino%20di%20Castrozza",,,,,,,
,,,,,,,,45.9096785,11.1845902,,"38064 Folgaria, Province of Trento","WHAT IS IT??","WHAT IS IT???","38064","http://www.semanticweb.org/facilitiesEventsOntology/Folgaria",,,,,,,
,,,,,,,,46.1243042,11.2574845,,"38042 Baselga di Pinè, Province of Trento","WHAT IS IT??","WHAT IS IT???","38042","http://www.semanticweb.org/facilitiesEventsOntology/Baselga%20di%20Pine%27",,,,,,,
"Buonconsiglio Castle Museum","0461 233770","http://www.buonconsiglio.it/","No email from google to avoid spamming",,,,,46.07154999999999,11.126608,,"Via Bernardo Clesio, 5, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Castello%20del%20Buonconsiglio%3B%20Via%20Bernardo%20Clesio","Closed","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM","9:30 AM – 5:00 PM"
"San Francesco Saverio","0461 980132",,"No email from google to avoid spamming",,,,,46.069896,11.1211644,,"Via Roma, 57, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20Chiesa%20di%20San%20Francesco%20Saverio%2C%20",,,,,,,
"Sala conferenze del Mart","0464 454132",,"No email from google to avoid spamming",,,,,45.89421569999999,11.0446996,,"38068 Rovereto, Province of Trento","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Sala%20conferenze","8:30 AM – 7:30 PM","8:30 AM – 7:30 PM","8:30 AM – 7:30 PM","8:30 AM – 7:30 PM","8:30 AM – 7:30 PM","9:00 AM – 6:00 PM","Closed"
,,,,,,,,45.9268706,10.9097607,,"38062 Arco, Province of Trento","WHAT IS IT??","WHAT IS IT???","38062","http://www.semanticweb.org/facilitiesEventsOntology/Arco",,,,,,,
"Teatro Portland","0461 924470","http://www.teatroportland.it/","No email from google to avoid spamming",,,,,46.0701296,11.1117611,,"Via Papiria, 8, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20Portland%3B%20Via%20Papiria%2C%208","3:00 – 7:00 PM","3:00 – 7:00 PM","3:00 – 7:00 PM","3:00 – 7:00 PM","3:00 – 7:00 PM","Closed","Closed"
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%20-%20Museo%20di%20Arte%20Moderna%20e%20Contemporanea%3B%20Corso%20Bettini%3B%20Rovereto","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
"Bruno Kessler Institute","0461 314444","http://www.fbk.eu/","No email from google to avoid spamming",,,,,46.066963,11.1511945,,"Via Sommarive, 18, 38123 Povo TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20Fondazione%20Bruno%20Kessler%2C%20","7:30 AM – 8:00 PM","7:30 AM – 8:00 PM","7:30 AM – 8:00 PM","7:30 AM – 8:00 PM","7:30 AM – 8:00 PM","Closed","Closed"
"Teatro Comunale di Pergine","0461 534321","http://www.teatrodipergine.it/","No email from google to avoid spamming",,,,,46.0622777,11.2390965,,"Piazza Garibaldi, 5G, 38057 Pergine Valsugana TN","WHAT IS IT??","WHAT IS IT???","38057","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20comunale%20di%20Pergine%20Valsugana%3B%20Piazza%20Garibaldi%2C%205g%3B%20Pergine%20Valsugana","Closed","5:00 – 8:00 PM","5:00 – 8:00 PM","5:00 – 8:00 PM","5:00 – 8:00 PM","10:00 AM – 1:00 PM","Closed"
,,,,,,,,46.27468210000001,11.0481459,,"38010 Denno, Province of Trento","WHAT IS IT??","WHAT IS IT???","38010","http://www.semanticweb.org/facilitiesEventsOntology/Denno",,,,,,,
,,,,,,,,46.06499039999999,11.1247026,,"Piazza di Fiera, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Fiera%3B%20Piazza%20di%20Fiera",,,,,,,
,,,,,,,,45.8513894,10.9787861,,"38065 Mori, Province of Trento","WHAT IS IT??","WHAT IS IT???","38065","http://www.semanticweb.org/facilitiesEventsOntology/Mori",,,,,,,
,,,,,,,,45.8904808,11.0433908,,"Piazza Antonio Rosmini, 18, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Rosmini%2018/A.%20Rovereto%20%28TN%29",,,,,,,
"MUSE","0461 270311","https://www.muse.it/","No email from google to avoid spamming",,,,,46.0626048,11.1145374,,"Corso del Lavoro e della Scienza, 3, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Attivit%C3%A0%20sul%20territorio","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
,,,,,,,,46.1757686,11.8283805,,"38054 Fiera di Primiero, Province of Trento","WHAT IS IT??","WHAT IS IT???","38054","http://www.semanticweb.org/facilitiesEventsOntology/Primiero%20-%20Siror",,,,,,,
,,,,,,,,45.89096,11.0401399,,"38068 Rovereto, Province of Trento","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20Terragnolo",,,,,,,
"Casa d'arte futurista Depero","0464 431813","http://www.mart.trento.it/casadepero","No email from google to avoid spamming",,,,,45.88697199999999,11.045252,,"Via dei Portici, 38, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20%2C%20Depero%20%20Futurist%20House%20of%20the%20Arts","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
,,,,,,,,46.06174,11.2369603,,"38057 Pergine Valsugana, Province of Trento","WHAT IS IT??","WHAT IS IT???","38057","http://www.semanticweb.org/facilitiesEventsOntology/Pergine%20Valsugana",,,,,,,
,,,,,,,,46.0716484,11.1149877,,"Vicolo di Piedicastello & Via Dòs Trento, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Piedicastello%3B%20Via%20D%C3%B2s%20Trento",,,,,,,
,,,,,,,,45.88919839999999,10.8430696,,"38066 Riva del Garda, Province of Trento","WHAT IS IT??","WHAT IS IT???","38066","http://www.semanticweb.org/facilitiesEventsOntology/Arco%2C%20Riva%20del%20Garda",,,,,,,
,,,,,,,,46.01302399999999,11.2977599,,"38056 Levico Terme, Province of Trento","WHAT IS IT??","WHAT IS IT???","38056","http://www.semanticweb.org/facilitiesEventsOntology/Levico%20Terme",,,,,,,
"MUSE","0461 270311","https://www.muse.it/","No email from google to avoid spamming",,,,,46.0626048,11.1145374,,"Corso del Lavoro e della Scienza, 3, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Muse%2C%20Trento","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
"Museo Palazzo Magnifica Comunita' Di Fiemme","0462 340812","http://www.palazzomagnifica.eu/","No email from google to avoid spamming",,,,,46.2917463,11.4590034,,"Via Scario, 1, 38033 Cavalese TN","WHAT IS IT??","WHAT IS IT???","38033","http://www.semanticweb.org/facilitiesEventsOntology/Cavalese%2C%20%2C%20Palace%20of%20the%20%22Magnifica%20Comunit%C3%A0%20di%20Fiemme%22","Closed","Closed","Closed","Closed","Closed","Closed","10:00 AM – 12:00 PM, 3:00 – 6:00 PM"
,,,,,,,,45.4636991,9.1907068,,"Piazza del Duomo, Milano MI","WHAT IS IT??","WHAT IS IT???",,"http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Piazza%20del%20Duomo",,,,,,,
"FAI - Castello di Avio","0464 684453","http://www.castellodiavio.it/","No email from google to avoid spamming",,,,,45.8168437,11.0120515,,"Via al Castello, 38063 Sabbionara TN","WHAT IS IT??","WHAT IS IT???","38063","http://www.semanticweb.org/facilitiesEventsOntology/Castello%20di%20Avio%3B%20via%20al%20castello%3B%20Avio","Closed","Closed","Closed","Closed","Closed","10:00 AM – 7:00 PM","10:00 AM – 6:00 PM"
,,,,,,,,46.3078419,10.7355513,,"38026 Ossana, Province of Trento","WHAT IS IT??","WHAT IS IT???","38026","http://www.semanticweb.org/facilitiesEventsOntology/Ossana",,,,,,,
,,,,,,,,46.312589,11.602437,,"38037 Predazzo, Province of Trento","WHAT IS IT??","WHAT IS IT???","38037","http://www.semanticweb.org/facilitiesEventsOntology/Predazzo",,,,,,,
,,,,,,,,45.9708209,10.9456656,,"38074 Drena, Province of Trento","WHAT IS IT??","WHAT IS IT???","38074","http://www.semanticweb.org/facilitiesEventsOntology/Arco%2C%20Drena%2C%20Dro%20...",,,,,,,
,,,,,,,,46.298827,10.811343,,"38020 Marilleva, Province of Trento","WHAT IS IT??","WHAT IS IT???","38020","http://www.semanticweb.org/facilitiesEventsOntology/Marilleva",,,,,,,
,,,,,,,,45.73277940000001,10.9397993,,"38063 Avio, Trentino, Province of Trento","WHAT IS IT??","WHAT IS IT???","38063","http://www.semanticweb.org/facilitiesEventsOntology/Avio",,,,,,,
,,,,,,,,46.4365458,11.1401368,,"38013 Fondo, Province of Trento","WHAT IS IT??","WHAT IS IT???","38013","http://www.semanticweb.org/facilitiesEventsOntology/Fondo",,,,,,,
"Kushi Ling",,"http://www.kushi-ling.com/en/","No email from google to avoid spamming",,,,,45.9413715,10.8860869,,"38062 Arco, Province of Trento","WHAT IS IT??","WHAT IS IT???","38062","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20di%20meditazione%20Kushi%20Ling%3B%20Via%20Alle%20Fontane%2C%20Loc.%20Laghel%2044%3B%20Arco",,,,,,,
"Comune di Tenno","0464 500624","http://www.comune.tenno.tn.it/","No email from google to avoid spamming",,,,,45.92024029999999,10.8324822,,"Via Dante Alighieri, 18, 38060 Tenno TN","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Via%20Dante%20Alighieri%3B%20Tenno","8:30 AM – 12:30 PM","8:30 AM – 12:30 PM","8:30 AM – 12:30 PM","8:30 AM – 12:30 PM","8:30 AM – 12:30 PM","Closed","Closed"
"Castle of Castellano","349 711 9977","https://www.visitrovereto.it/scopri/castelli/castello-di-castellano/","No email from google to avoid spamming",,,,,45.9211919,11.0064004,,"Viale Lodron, 17, 38060 Castellano TN","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Castellano%3B%20via%20al%20castello%3B%20Villa%20Lagarina",,,,,,,
,,,,,,,,45.9117544,10.6134314,,"38082 Cimego, Province of Trento","WHAT IS IT??","WHAT IS IT???","38082","http://www.semanticweb.org/facilitiesEventsOntology/Cimego",,,,,,,
,,,,,,,,46.0802175,11.0014092,,"38070 Vezzano, Province of Trento","WHAT IS IT??","WHAT IS IT???","38070","http://www.semanticweb.org/facilitiesEventsOntology/Vezzano",,,,,,,
,,,,,,,,45.9195492,10.8329991,,"38060 Tenno, Province of Trento","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Tenno",,,,,,,
,,,,,,,,46.30530900000001,11.4579089,,"38030 Varena, Trentino, Province of Trento","WHAT IS IT??","WHAT IS IT???","38030","http://www.semanticweb.org/facilitiesEventsOntology/Varena",,,,,,,
"Teatro di Meano","0461 534321","http://www.teatrodimeano.it/","No email from google to avoid spamming",,,,,46.1268463,11.1163055,,"Via delle Sugarine, 22, 38121 Meano TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20di%20Meano%3B%20Via%20delle%20Sugarine%2C%2022",,,,,,,
"Apartments Moena - Living 2000","0462 573193","http://www.moena-appartamenti.it/","No email from google to avoid spamming",,,,,46.37617900000001,11.660669,,"Piaz de Ramon, 59, 38035 Moena TN","WHAT IS IT??","WHAT IS IT???","38035","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Piaz%20de%20Ramon%3B%20Moena","9:00 – 10:00 AM, 3:30 – 7:00 PM","9:00 – 10:00 AM, 3:30 – 7:00 PM","9:00 – 10:00 AM, 3:30 – 7:00 PM","9:00 – 10:00 AM, 3:30 – 7:00 PM","9:00 – 10:00 AM, 3:30 – 7:00 PM","9:00 – 10:00 AM, 3:30 – 7:00 PM","Closed"
"Parco Asburgico Secolare di Levico Terme",,"http://www.naturambiente.provincia.tn.it/parco_levico/","No email from google to avoid spamming",,,,,46.0097207,11.3061366,,"Via Guglielmo Marconi, 38056 Levico Terme TN","WHAT IS IT??","WHAT IS IT???","38056","http://www.semanticweb.org/facilitiesEventsOntology/Parco%20Asburgico%3B%20Via%20Guglielmo%20Marconi%3B%20Levico%20Terme",,,,,,,
,,,,,,,,46.242222,11.5025,,"Cermis, 38033 Cavalese, Province of Trento","WHAT IS IT??","WHAT IS IT???","38033","http://www.semanticweb.org/facilitiesEventsOntology/Cavalese%2C%20Alpe%20Cermis%2C%20Pampeago-Predazzo-Obereggen%20...",,,,,,,
,,,,,,,,45.87782430000001,10.8908516,,"38069 Nago–Torbole, Province of Trento","WHAT IS IT??","WHAT IS IT???","38069","http://www.semanticweb.org/facilitiesEventsOntology/Torbole%20sul%20Garda%20-%20Nago",,,,,,,
,,,,,,,,45.7905752,11.1253551,,"38060 Vallarsa, Province of Trento","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Vallarsa",,,,,,,
"Teatro San Marco","0461 233522","https://www.teatrosanmarco.it/","No email from google to avoid spamming",,,,,46.0638188,11.1287118,,"Via S. Bernardino, 10, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Teatro%20San%20Marco%3B%20Via%20San%20Bernardino",,,,,,,
,,,,,,,,45.7625639,11.0051732,,"38061 Ala, Province of Trento","WHAT IS IT??","WHAT IS IT???","38061","http://www.semanticweb.org/facilitiesEventsOntology/Ala",,,,,,,
,,,,,,,,46.4907862,11.7123873,,"38031 Campitello di Fassa, Province of Trento","WHAT IS IT??","WHAT IS IT???","38031","http://www.semanticweb.org/facilitiesEventsOntology/Campitello%20di%20Fassa",,,,,,,
,,,,,,,,46.4121956,10.7888809,,"38020 Rabbi, Province of Trento","WHAT IS IT??","WHAT IS IT???","38020","http://www.semanticweb.org/facilitiesEventsOntology/Rabbi",,,,,,,
"Liceo Andrea Maffei","0464 553511","http://e.liceomaffei.it/","No email from google to avoid spamming",,,,,45.887436,10.844791,,"Viale Lutti Alberti, 7, 38066 Riva del Garda TN","WHAT IS IT??","WHAT IS IT???","38066","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Via%20Andrea%20Maffei%3B%20Riva%20del%20Garda","8:00 AM – 1:00 PM","8:00 AM – 1:00 PM","8:00 AM – 1:00 PM","8:00 AM – 1:00 PM","8:00 AM – 1:00 PM","8:00 AM – 12:00 PM","Closed"
,,,,,,,,46.068487,11.1188283,,"Piazza Santa Maria Maggiore, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Piazza%20Santa%20Maria%20Maggiore%3B%20Piazza%20Santa%20Maria%20Maggiore",,,,,,,
"Hotel Garni Laurino","0462 340151","http://www.hotelgarnilaurino.it/","No email from google to avoid spamming",,,,,46.2896974,11.4600364,,"Via Antoniazzi, 14, 38033 Cavalese TN","WHAT IS IT??","WHAT IS IT???","38033","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Indirizzo%20non%20disponibile%3B%20Cavalese","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
,,,,,,,,46.2564381,10.5808235,,"Tonale Pass, 25056 Ponte di Legno, Province of Brescia","WHAT IS IT??","WHAT IS IT???","25056","http://www.semanticweb.org/facilitiesEventsOntology/Folgarida%2C%20Marilleva%2C%20Passo%20del%20Tonale%20...",,,,,,,
"Maio Restaurant","02 885 2455","http://www.maiorestaurant.com/","No email from google to avoid spamming",,,,,45.464794,9.191839000000002,,"Piazza del Duomo, 20121 Milano MI","WHAT IS IT??","WHAT IS IT???","20121","http://www.semanticweb.org/facilitiesEventsOntology/Ristoranti%20della%20citt%C3%A0%3B%20Piazza%20del%20Duomo","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM","8:30 AM – 12:00 AM"
,,,,,,,,46.0747793,11.1217486,,"Trento, Province of Trento","WHAT IS IT??","WHAT IS IT???",,"http://www.semanticweb.org/facilitiesEventsOntology/Trento",,,,,,,
"Hotel Meida - Pozza di Fassa","0462 764283","http://www.hotelmeida.it/","No email from google to avoid spamming",,,,,46.4300636,11.6915665,,"strada de Meida, 67, 38036 Pozza di Fassa TN","WHAT IS IT??","WHAT IS IT???","38036","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Strada%20de%20Meida%3B%20Pozza%20di%20Fassa","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
,,,,,,,,45.9253574,11.341417,,"38040 Luserna, Province of Trento","WHAT IS IT??","WHAT IS IT???","38040","http://www.semanticweb.org/facilitiesEventsOntology/Lavarone%2C%20Folgaria%2C%20Luserna",,,,,,,
"Basilica Papale di Santa Maria Maggiore","06 6988 6800","http://www.vatican.va/","No email from google to avoid spamming",,,,,41.89759859999999,12.4984084,,"Piazza di S. Maria Maggiore, 00100 Roma RM","WHAT IS IT??","WHAT IS IT???",,"http://www.semanticweb.org/facilitiesEventsOntology/Chiese%20della%20citt%C3%A0%3B%20Piazza%20Santa%20Maria%20Maggiore",,,,,,,
"Dolomiti Webcam",,"http://dolomitiwebcam.com/","No email from google to avoid spamming",,,,,46.4128657,11.6693257,,"Str. Larcionè, 48, 38039 Vigo di Fassa TN","WHAT IS IT??","WHAT IS IT???","38039","http://www.semanticweb.org/facilitiesEventsOntology/Canazei%2C%20Moena%2C%20Vigo%20di%20Fassa",,,,,,,
,,,,,,,,46.2207428,11.0364617,,"38010 Maurina, Province of Trento, Italy","WHAT IS IT??","WHAT IS IT???","38010","http://www.semanticweb.org/facilitiesEventsOntology/Maurina%3B%20Indirizzo%20non%20disponibile%3B%20Spormaggiore",,,,,,,
,,,,,,,,46.1877609,11.8302311,,"38054 Siror, Province of Trento, Italy","WHAT IS IT??","WHAT IS IT???","38054","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Indirizzo%20non%20disponibile%3B%20Siror",,,,,,,
,,,,,,,,44.1401297,9.890590399999999,,"19020 Vezzano Ligure, SP, Italy","WHAT IS IT??","WHAT IS IT???","19020","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Vezzano",,,,,,,
,,,,,,,,46.3078419,10.7355513,,"38026 Ossana, Province of Trento, Italy","WHAT IS IT??","WHAT IS IT???","38026","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Ossana",,,,,,,
,,,,,,,,45.9117544,10.6134314,,"38082 Cimego, Province of Trento, Italy","WHAT IS IT??","WHAT IS IT???","38082","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Cimego",,,,,,,
,,,,,,,,45.8765359,10.7321478,,"38067 Ledro, Province of Trento, Italy","WHAT IS IT??","WHAT IS IT???","38067","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Ledro",,,,,,,
,,,,,,,,46.2888742,11.5106452,,"Piazza Cesare Battisti, 38038 Tesero TN, Italy","WHAT IS IT??","WHAT IS IT???","38038","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20piazza%20Cesare%20Battisti%3B%20Tesero",,,,,,,
